,subject,initial_distance,result_distance
0,BraTSReg_001,0.6666666666666666,0.9038651784261068
1,BraTSReg_002,0.8333333333333334,1.2401288350423176
2,BraTSReg_003,1.6666666666666667,1.1247978210449219
3,BraTSReg_004,0.8333333333333334,0.9826100667317709
4,BraTSReg_005,1.1666666666666667,0.4315388997395833
5,BraTSReg_006,1.3333333333333333,2.4985580444335938
6,BraTSReg_007,0.8333333333333334,1.166195551554362
7,BraTSReg_008,1.5,2.1045125325520835
8,BraTSReg_009,1.5,0.8059139251708984
9,BraTSReg_010,2.6666666666666665,0.6411240895589193
10,BraTSReg_011,2.0,1.0438397725423176
11,BraTSReg_012,0.6666666666666666,0.426422119140625
12,BraTSReg_013,0.6666666666666666,1.2119216918945312
13,BraTSReg_014,1.1666666666666667,0.43517621358235675
14,BraTSReg_015,0.5,0.8167095184326172
15,BraTSReg_016,2.1666666666666665,1.1585172017415364
16,BraTSReg_017,0.8333333333333334,0.9645290374755859
17,BraTSReg_018,1.1666666666666667,0.7825069427490234
18,BraTSReg_019,1.3333333333333333,1.1889801025390625
19,BraTSReg_020,0.6666666666666666,0.5843079884847006
20,BraTSReg_021,0.8333333333333334,1.3094228108723958
21,BraTSReg_022,1.1666666666666667,1.284454345703125
22,BraTSReg_023,1.6666666666666667,1.0337874094645183
23,BraTSReg_024,1.6666666666666667,1.1977189381917317
24,BraTSReg_025,1.0,1.798205057779948
25,BraTSReg_026,0.6666666666666666,0.42722320556640625
26,BraTSReg_027,0.8333333333333334,0.7531661987304688
27,BraTSReg_028,1.0,0.8672097524007162
28,BraTSReg_029,0.8333333333333334,0.7604281107584635
29,BraTSReg_030,1.3333333333333333,0.873833974202474
30,BraTSReg_031,0.3333333333333333,0.7415053049723307
31,BraTSReg_032,0.8333333333333334,1.1689834594726562
32,BraTSReg_033,0.5,0.5218308766682943
33,BraTSReg_034,0.6666666666666666,0.9282023111979166
34,BraTSReg_035,0.16666666666666666,0.597906748453776
35,BraTSReg_036,0.16666666666666666,0.7352345784505209
36,BraTSReg_037,0.5,0.8623186747233073
37,BraTSReg_038,0.3333333333333333,0.5774710973103842
38,BraTSReg_039,0.16666666666666666,0.5766633351643881
39,BraTSReg_040,0.5,0.706329345703125
40,BraTSReg_041,0.3333333333333333,0.5830262502034506
41,BraTSReg_042,0.5,1.437374750773112
42,BraTSReg_043,2.6666666666666665,2.4873377482096353
43,BraTSReg_044,0.5,1.2289282480875652
44,BraTSReg_045,0.5,1.2992350260416667
45,BraTSReg_046,1.1666666666666667,1.1318944295247395
46,BraTSReg_047,0.8333333333333334,0.6100514729817709
47,BraTSReg_048,0.8333333333333334,0.6122948328653971
48,BraTSReg_049,0.5,1.0641179084777832
